First Name,Last Name,Position,Team,Overall,Player Image,Team Logo,SPD,ACC,STR,AGI,AWR
Ja'Marr,Chase,Wide Receiver,Cincinnati Bengals,99,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1370.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/5oemvWKqCFgBCkCI4h9A2U/0629c6d345fe01a14ba9f40554fd182e/2.png,95,94,73,92,99
Josh,Allen,Quarterback,Buffalo Bills,99,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8800.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/212FXcpkDUjs9ZJpZ038pM/676904f80719bc724267b7eb5609c6af/3.png,88,91,81,85,97
Lane,Johnson,Right Tackle,Philadelphia Eagles,99,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/5902.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/1Nt5pFCpjcBcADzHRbwfIk/ce90f9cb564aef7cc30cf1dd88c84150/13.png,77,78,93,75,99
Myles,Garrett,Right Edge,Cleveland Browns,99,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8560.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/4qbblHggBjaH9o46kyGeFo/27cab0f308b54edbd469e9b20cb506f7/5.png,87,90,96,86,97
George,Kittle,Tight End,San Francisco 49ers,98,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8622.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/1SoIzWJtk28ygwNAPEMRnf/deaee9a60ace23f7eaeaf4275c2282b0/15.png,87,87,82,83,99
Jahmyr,Gibbs,Halfback,Detroit Lions,98,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/2564.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/7cuE4tZcli1uQyZbvXWMrd/a2df9decdab28170691ca6631dd62139/19.png,98,95,72,93,88
Matthew,Stafford,Quarterback,Los Angeles Rams,98,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/6302.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/wS8JnLBEBj9eq68rO1qTb/b7b5285ad842936bc21bb149eb8c31b8/24.png,78,70,66,71,99
Micah,Parsons,Right Edge,Green Bay Packers,98,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1058.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/4ztQk5XogdkrJe6reVd3h8/16ecf8a0f4caf228c6e54ad0f8e17425/20.png,90,95,91,90,97
Penei,Sewell,Right Tackle,Detroit Lions,98,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/963.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/7cuE4tZcli1uQyZbvXWMrd/a2df9decdab28170691ca6631dd62139/19.png,73,74,97,60,98
Christian,Gonzalez,Cornerback,New England Patriots,97,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/2171.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/6Z0rWjQfkWgvj8K58X0WfA/aaaaa7e6c313bdfc5e624309ba6dfc4e/22.png,96,93,59,92,97
Fred,Warner,Mike Backer,San Francisco 49ers,97,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/9101.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/1SoIzWJtk28ygwNAPEMRnf/deaee9a60ace23f7eaeaf4275c2282b0/15.png,88,91,80,83,99
Maxx,Crosby,Left Edge,Las Vegas Raiders,97,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/9426.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/5ZrNmFWgR1vnwTOdqVmwYy/fe13aa7566120fb59130404e168c59ca/23.png,86,88,89,86,98
Patrick,Surtain II,Cornerback,Denver Broncos,97,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1301.png?im=FaceCrop,padding=0.7",https://drop-assets.ea.com/images/4AYKY9OcX1CYbyMFBnvM8/ac07a8ff525004f92014e3259708acdf/4.png,94,92,63,90,98
